# Copyright (c) 2023, Arm Limited.
# SPDX-License-Identifier: Apache-2.0
# Auto-generated from actuation_format_bag
1672931045651230749,0x1.0ac7fep-1,0x1.45a64p-1,0x1.1ee7ap-5,0x0p+0
1672931045676504959,0x1.0ac15p-1,0x1.45a64p-1,0x1.1f07fp-5,0x0p+0
1672931045701371347,0x1.0ee886p-1,0x1.717ed6p-1,0x1.1dbeb6p-5,0x0p+0
1672931045726313063,0x1.0ee6fep-1,0x1.717ed6p-1,0x1.1dde4p-5,0x0p+0
1672931045751262574,0x1.0ee606p-1,0x1.717ed6p-1,0x1.1dfefp-5,0x0p+0
1672931045776331883,0x1.0ee592p-1,0x1.717ed6p-1,0x1.1e2158p-5,0x0p+0
1672931045801380547,0x1.0b3748p-1,0x1.9d6f08p-1,0x1.21073cp-5,0x0p+0
1672931045826431882,0x1.0b33bp-1,0x1.9d6f08p-1,0x1.2131e4p-5,0x0p+0
1672931045851231333,0x1.0b2ffcp-1,0x1.9d6f08p-1,0x1.215e42p-5,0x0p+0
1672931045876239987,0x1.0b2c2ep-1,0x1.9d6f08p-1,0x1.218b4cp-5,0x0p+0
1672931045901275305,0x1.0b5ca4p-1,0x1.c8daa2p-1,0x1.2097bp-5,0x0p+0
1672931045926337259,0x1.0b594p-1,0x1.c8daa2p-1,0x1.20c1b2p-5,0x0p+0
1672931045951281715,0x1.0b5634p-1,0x1.c8daa2p-1,0x1.20eb16p-5,0x0p+0
1672931045976154745,0x1.0b536ep-1,0x1.c8daa2p-1,0x1.211456p-5,0x0p+0
1672931046001273168,0x1.0571ecp-1,0x1.f398ccp-1,0x1.24dbfap-5,0x0p+0
1672931046026355831,0x1.0568eap-1,0x1.f398ccp-1,0x1.250cfcp-5,0x0p+0
1672931046051121857,0x1.055ff4p-1,0x1.f398ccp-1,0x1.253e24p-5,0x0p+0
1672931046076162839,0x1.0556fcp-1,0x1.12c984p+0,0x1.256f8p-5,0x0p+0
1672931046101316835,0x1.00e9fap-1,0x1.0eda94p+0,0x1.2a0f66p-5,0x0p+0
